
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0106                          C25                               38   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0110                          C33                               80   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0110                          C33                               80   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0112                          C10                               60   1      1   1   1 1           1 0 GND                 (43-1-13)
10-0112                          C10                               60   1      2   1   1 2           2 0 XSIG011416          (4228-2-13)
10-0112                          C11                               61   1      1   1   1 1           1 0 GND                 (43-1-13)
10-0112                          C11                               61   1      2   1   1 2           2 0 XSIG011417          (4228-3-13)
20-0009                          D1                                27   1      1   1   1 2           2 0 XSIG040080          (4631-36-13)
20-0009                          D1                                27   1      2   2   1 1           1 0 GND                 (43-1-13)
20-0038                          D3                                73   1      1   1   1 1           1 0 VCC                 (43-2-13)
20-0038                          D3                                73   1      2   2   1 4           4 0 XSIG011692          (4631-5-13)
20-0038                          D3                                73   1      3   3   1 3           3 0 XSIG011691          (4631-4-13)
20-0038                          D3                                73   1      4   4   1 2           2 0 XSIG011690          (4631-3-13)
20-0039                          D2                                78   1      1   1   1 A           1 0 XSIG020417          (4811-1-13)
20-0039                          D2                                78   1      2   2   1 C           2 0 XSIG020229          (4292-14-13)
20-0060                          D7                                56   1      1   1   1 2           2 0 OTG_HS_VBUS         (4631-6-13)
20-0060                          D7                                56   1      2   2   1 1           1 0 XSIG020410          (4631-15-13)
30-0010                          Q1                                26   1      1   1   1 3           3 0 VBAT                (4639-1-13)
30-0010                          Q1                                26   1      2   2   1 1           1 0 OTG_HS_VBUS         (4631-6-13)
30-0010                          Q1                                26   1      3   3   1 2           2 0 XSIG020410          (4631-15-13)
40-0229                          U6                                63   1      1   1   1 2           2 0 GND                 (43-1-13)
40-0229                          U6                                63   1      2   2   1 5           5 0 XSIG020233          (4292-16-13)
40-0229                          U6                                63   1      3   3   1 1           1 0 XSIG020229          (4292-14-13)
40-0229                          U6                                63   1      4   4   1 3           3 0 VBAT                (4639-1-13)
40-0229                          U6                                63   1      5   5   1 4           4 0 OTG_HS_VBUS         (4631-6-13)
40-0232                          U7                                23   1      1   1   1 2           2 0 XSIG020392          (4631-9-13)
40-0232                          U7                                23   1      2   2   1 9           9 0 XSIG020401          (4631-11-13)
40-0232                          U7                                23   1      3   3   1 5           5 0 GND                 (43-1-13)
40-0232                          U7                                23   1      4   4   1 1           1 0 XSIG020393          (4631-10-13)
40-0232                          U7                                23   1      5   5   1 8           8 0 XSIG020410          (4631-15-13)
40-0232                          U7                                23   1      6   6   1 3           3 0 XSIG020389          (4631-7-13)
40-0232                          U7                                23   1      7   7   1 4           4 0 XSIG020390          (4631-8-13)
40-0232                          U7                                23   1      8   8   1 10         10 0 XSIG020405          (4631-13-13)
40-0232                          U7                                23   1      9   9   1 7           7 0 XSIG020410          (4631-15-13)
40-0232                          U7                                23   1     10  10   1 6           6 0 VCC                 (43-2-13)
40-0308                          U8                                68   1      1   1   1 30         31 0 XSIG040091          (4696-5-13)
40-0308                          U8                                68   1      2   2   1 47         48 0 XSIG040066          (4631-29-13)
40-0308                          U8                                68   1      3   3   1 1           2 0 XSIG040057          (4631-26-13)
40-0308                          U8                                68   1      4   4   1 32         33 0 XSIG040084          (4631-38-13)
40-0308                          U8                                68   1      5   5   1 33         34 0 XSIG040056          (4631-25-13)
40-0308                          U8                                68   1      6   6   1 46         47 0 XSIG040055          (4631-24-13)
40-0308                          U8                                68   1      7   7   1 2           3 0 XSIG040074          (4631-32-13)
40-0308                          U8                                68   1      8   8   1 3           4 0 XSIG040076          (4631-33-13)
40-0308                          U8                                68   1      9   9   1 4           5 0                     (0-0-0)
40-0308                          U8                                68   1     10  10   1 5           6 0                     (0-0-0)
40-0308                          U8                                68   1     11  11   1 6           7 0                     (0-0-0)
