
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
40-0308                          U7                                 3   1     16  16   1 11         12 0                     (0-0-0)
40-0308                          U7                                 3   1     17  17   1 12         13 0                     (0-0-0)
40-0308                          U7                                 3   1     18  18   1 14         15 0                     (0-0-0)
40-0308                          U7                                 3   1     19  19   1 15         16 0                     (0-0-0)
40-0308                          U7                                 3   1     20  20   1 16         17 0                     (0-0-0)
40-0308                          U7                                 3   1     21  21   1 17         18 0                     (0-0-0)
40-0308                          U7                                 3   1     22  22   1 18         19 0                     (0-0-0)
40-0308                          U7                                 3   1     23  23   1 19         20 0                     (0-0-0)
40-0308                          U7                                 3   1     24  24   1 20         21 0                     (0-0-0)
40-0308                          U7                                 3   1     25  25   1 21         22 0                     (0-0-0)
40-0308                          U7                                 3   1     26  26   1 22         23 0 LED_B               (4311-17-13)
40-0308                          U7                                 3   1     27  27   1 23         24 0                     (0-0-0)
40-0308                          U7                                 3   1     28  28   1 24         25 0                     (0-0-0)
40-0308                          U7                                 3   1     29  29   1 27         28 0                     (0-0-0)
40-0308                          U7                                 3   1     30  30   1 28         29 0                     (0-0-0)
40-0308                          U7                                 3   1     31  31   1 29         30 0                     (0-0-0)
40-0308                          U7                                 3   1     32  32   1 37         38 0                     (0-0-0)
40-0308                          U7                                 3   1     33  33   1 38         39 0                     (0-0-0)
40-0308                          U7                                 3   1     34  34   1 39         40 0                     (0-0-0)
40-0308                          U7                                 3   1     35  35   1 40         41 0                     (0-0-0)
40-0308                          U7                                 3   1     36  36   1 41         42 0                     (0-0-0)
40-0308                          U7                                 3   1     37  37   1 42         43 0                     (0-0-0)
40-0308                          U7                                 3   1     38  38   1 43         44 0                     (0-0-0)
40-0308                          U7                                 3   1     39  39   1 25         26 0 SWCLK_p02           (4427-2-13)
40-0308                          U7                                 3   1     40  40   1 26         27 0 SWDIO_p02           (4427-1-13)
40-0308                          U7                                 3   1     41  41   1 34         35 0 XSIG020350          (4311-13-13)
40-0308                          U7                                 3   1     42  42   1 35         36 0 XSIG020352          (4311-14-13)
40-0308                          U7                                 3   2      1   1   2 48         49 0 VCC                 (43-2-13)
40-0308                          U7                                 3   2      1   1   3 36         37 0 VCC                 (43-2-13)
40-0308                          U7                                 3   2      1   1   4 13         14 0 VCC                 (43-2-13)
40-0308                          U7                                 3   3      1   1   5 EXP         1 0 GND                 (43-1-13)
40-0308                          U7                                 3   3      1   1   6 31         32 0 GND                 (43-1-13)
40-0308                          U7                                 3   3      1   1   7 45         46 0 GND                 (43-1-13)
40-0308                          U7                                 0   4      1   1   8 44         45 1                     (0-0-0)
40-0317                          U4                                34   1      1   1   1 60         60 0 XSIG011624          (4292-11-13)
40-0317                          U4                                34   1      2   2   1 28         28 0                     (0-0-0)
40-0317                          U4                                34   1      3   3   1 56         56 0                     (0-0-0)
40-0317                          U4                                34   1      4   4   1 49         49 0 SWCLK               (4292-9-13)
40-0317                          U4                                34   1      5   5   1 50         50 0 WAKE                (4228-20-13)
40-0317                          U4                                34   1      6   6   1 55         55 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0317                          U4                                34   1      7   7   1 46         46 0 SWDIO               (4292-10-13)
40-0317                          U4                                34   1      8   8   1 5           5 0 XSIG011613          (4292-8-13)
40-0317                          U4                                34   1      9   9   1 6           6 0 XSIG011611          (4292-7-13)
40-0317                          U4                                34   1     10  10   1 14         14 0                     (0-0-0)
40-0317                          U4                                34   1     11  11   1 15         15 0                     (0-0-0)
40-0317                          U4                                34   1     12  12   1 16         16 0                     (0-0-0)
40-0317                          U4                                34   1     13  13   1 17         17 0                     (0-0-0)
40-0317                          U4                                34   1     14  14   1 20         20 0 SPI_NSS             (4311-1-13)
40-0317                          U4                                34   1     15  15   1 21         21 0 SPI_SCK             (4311-2-13)
40-0317                          U4                                34   1     16  16   1 22         22 0 SPI_MISO            (4311-4-13)
40-0317                          U4                                34   1     17  17   1 23         23 0 SPI_MOSI            (4311-3-13)
40-0317                          U4                                34   1     18  18   1 41         41 0                     (0-0-0)
40-0317                          U4                                34   1     19  19   1 42         42 0 UART_UC2WIFI        (4228-18-13)
40-0317                          U4                                34   1     20  20   1 43         43 0 UART_WIFI2UC        (4228-19-13)
40-0317                          U4                                34   1     21  21   1 44         44 0 UART_WIFI2UC_TS     (4264-4-13)
40-0317                          U4                                34   1     22  22   1 45         45 0 UART_UC2WIFI_TS     (4264-5-13)
40-0317                          U4                                34   1     23  23   1 26         26 0                     (0-0-0)
40-0317                          U4                                34   1     24  24   1 27         27 0                     (0-0-0)
40-0317                          U4                                34   1     25  25   1 57         57 0                     (0-0-0)
40-0317                          U4                                34   1     26  26   1 58         58 0                     (0-0-0)
40-0317                          U4                                34   1     27  27   1 59         59 0                     (0-0-0)
40-0317                          U4                                34   1     28  28   1 61         61 0                     (0-0-0)
40-0317                          U4                                34   1     29  29   1 62         62 0                     (0-0-0)
40-0317                          U4                                34   1     30  30   1 29         29 0                     (0-0-0)
40-0317                          U4                                34   1     31  31   1 30         30 0                     (0-0-0)
40-0317                          U4                                34   1     32  32   1 33         33 0 OTG_HS_ID           (4264-6-13)
40-0317                          U4                                34   1     33  33   1 34         34 0                     (0-0-0)
40-0317                          U4                                34   1     34  34   1 35         35 0 OTG_HS_DM           (4264-7-13)
40-0317                          U4                                34   1     35  35   1 36         36 0 OTG_HS_DP           (4264-8-13)
40-0317                          U4                                34   1     36  36   1 8           8 0 RGB_R               (4194-10-13)
40-0317                          U4                                34   1     37  37   1 9           9 0 RGB_G               (4194-11-13)
40-0317                          U4                                34   1     38  38   1 10         10 0 RGB_B               (4194-12-13)
40-0317                          U4                                34   1     39  39   1 11         11 0                     (0-0-0)
40-0317                          U4                                34   1     40  40   1 24         24 0                     (0-0-0)
40-0317                          U4                                34   1     41  41   1 25         25 0                     (0-0-0)
40-0317                          U4                                34   1     42  42   1 37         37 0                     (0-0-0)
40-0317                          U4                                34   1     43  43   1 38         38 0                     (0-0-0)
40-0317                          U4                                34   1     44  44   1 39         39 0 SD_D0               (4228-14-13)
40-0317                          U4                                34   1     45  45   1 40         40 0 SD_D1               (4228-10-13)
40-0317                          U4                                34   1     46  46   1 51         51 0 SD_D2               (4228-12-13)
40-0317                          U4                                34   1     47  47   1 52         52 0 SD_D3               (4228-11-13)
40-0317                          U4                                34   1     48  48   1 53         53 0 SD_SCK              (4228-15-13)
40-0317                          U4                                34   1     49  49   1 2           2 0                     (0-0-0)
40-0317                          U4                                34   1     50  50   1 3           3 0                     (0-0-0)
40-0317                          U4                                34   1     51  51   1 4           4 0                     (0-0-0)
40-0317                          U4                                34   1     52  52   1 54         54 0 SD_CMD              (4228-13-13)
40-0317                          U4                                34   1     53  53   1 7           7 0                     (0-0-0)
40-0317                          U4                                34   1     54  54   1 1           1 0 VCC                 (43-2-13)
40-0317                          U4                                34   1     55  55   1 31         31 0 XSIG011417          (4228-3-13)
40-0317                          U4                                34   1     56  56   1 47         47 0 XSIG011416          (4228-2-13)
40-0317                          U4                                34   1     57  57   1 13         13 0 VCC                 (43-2-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0317                          U4                                34   2      1   1   2 64         64 0 VCC                 (43-2-13)
40-0317                          U4                                34   2      1   1   3 48         48 0 VCC                 (43-2-13)
40-0317                          U4                                34   2      1   1   4 32         32 0 VCC                 (43-2-13)
40-0317                          U4                                34   2      1   1   5 19         19 0 VCC                 (43-2-13)
40-0317                          U4                                34   3      1   1   6 63         63 0 GND                 (43-1-13)
40-0317                          U4                                34   3      1   1   7 18         18 0 GND                 (43-1-13)
40-0317                          U4                                34   3      1   1   8 12         12 0 GND                 (43-1-13)
