
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
80-0063                          PT10                              37   1      1   1   1 1           1 0 DIO5                (4186-6-13)
80-0063                          PT11                              39   1      1   1   1 1           1 0 RXTX                (4122-26-13)
81-0002                          QZ1                               29   1      1   1   1 1           1 0 XSIG011327          (4122-20-13)
81-0002                          QZ1                               29   1      2   2   1 2           2 0 XSIG011329          (4122-21-13)
83-0025                          QZ2                               32   1      1   1   1 1           1 0 XSIG011321          (4122-18-13)
83-0025                          QZ2                               32   1      2   2   1 3           3 0 XSIG011323          (4122-19-13)
83-0025                          QZ2                                0   2      1   1   2 2           2 1                     (0-0-0)
83-0025                          QZ2                                0   2      1   1   3 4           4 1                     (0-0-0)
83-0025                          QZ3                               31   1      1   1   1 1           1 0 XSIG020081          (4284-7-13)
83-0025                          QZ3                               31   1      2   2   1 3           3 0 XSIG020082          (4284-8-13)
83-0025                          QZ3                                0   2      1   1   2 2           2 1                     (0-0-0)
83-0025                          QZ3                                0   2      1   1   3 4           4 1                     (0-0-0)
