
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
40-0308                          U2                                11   1     28  28   1 24         25 0 RSTn_p02            (4539-3-13)
40-0308                          U2                                11   1     29  29   1 27         28 0 LED_B               (4175-30-13)
40-0308                          U2                                11   1     30  30   1 28         29 0                     (0-0-0)
40-0308                          U2                                11   1     31  31   1 29         30 0                     (0-0-0)
40-0308                          U2                                11   1     32  32   1 37         38 0                     (0-0-0)
40-0308                          U2                                11   1     33  33   1 38         39 0                     (0-0-0)
40-0308                          U2                                11   1     34  34   1 39         40 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0308                          U2                                11   1     35  35   1 40         41 0                     (0-0-0)
40-0308                          U2                                11   1     36  36   1 41         42 0                     (0-0-0)
40-0308                          U2                                11   1     37  37   1 42         43 0                     (0-0-0)
40-0308                          U2                                11   1     38  38   1 43         44 0                     (0-0-0)
40-0308                          U2                                11   1     39  39   1 25         26 0 SWCLK               (4134-25-13)
40-0308                          U2                                11   1     40  40   1 26         27 0 SWDIO               (4134-26-13)
40-0308                          U2                                11   1     41  41   1 34         35 0 XSIG020088          (4194-13-13)
40-0308                          U2                                11   1     42  42   1 35         36 0 XSIG020089          (4194-14-13)
40-0308                          U2                                11   2      1   1   2 48         49 0 VCC                 (43-2-13)
40-0308                          U2                                11   2      1   1   3 36         37 0 VCC                 (43-2-13)
40-0308                          U2                                11   2      1   1   4 13         14 0 VCC                 (43-2-13)
40-0308                          U2                                11   3      1   1   5 EXP         1 0 GND                 (43-1-13)
40-0308                          U2                                11   3      1   1   6 31         32 0 GND                 (43-1-13)
40-0308                          U2                                11   3      1   1   7 45         46 0 GND                 (43-1-13)
40-0308                          U2                                 0   4      1   1   8 44         45 1                     (0-0-0)
40-0317                          U1                                 3   1      1   1   1 60         60 0 XSIG011445          (4539-2-13)
40-0317                          U1                                 3   1      2   2   1 28         28 0                     (0-0-0)
40-0317                          U1                                 3   1      3   3   1 56         56 0                     (0-0-0)
40-0317                          U1                                 3   1      4   4   1 49         49 0 SWCLK_STM           (4134-1-13)
40-0317                          U1                                 3   1      5   5   1 50         50 0 SPI_NSS             (4167-10-13)
40-0317                          U1                                 3   1      6   6   1 55         55 0                     (0-0-0)
40-0317                          U1                                 3   1      7   7   1 46         46 0 SWDIO_STM           (4134-2-13)
40-0317                          U1                                 3   1      8   8   1 5           5 0 XSIG011391          (4282-2-13)
40-0317                          U1                                 3   1      9   9   1 6           6 0 XSIG011389          (4282-1-13)
40-0317                          U1                                 3   1     10  10   1 14         14 0                     (0-0-0)
40-0317                          U1                                 3   1     11  11   1 15         15 0                     (0-0-0)
40-0317                          U1                                 3   1     12  12   1 16         16 0                     (0-0-0)
40-0317                          U1                                 3   1     13  13   1 17         17 0                     (0-0-0)
40-0317                          U1                                 3   1     14  14   1 20         20 0                     (0-0-0)
40-0317                          U1                                 3   1     15  15   1 21         21 0                     (0-0-0)
40-0317                          U1                                 3   1     16  16   1 22         22 0                     (0-0-0)
40-0317                          U1                                 3   1     17  17   1 23         23 0                     (0-0-0)
40-0317                          U1                                 3   1     18  18   1 41         41 0 RGB_G               (4194-11-13)
40-0317                          U1                                 3   1     19  19   1 42         42 0 XSIG011435          (4486-1-13)
40-0317                          U1                                 3   1     20  20   1 43         43 0                     (0-0-0)
40-0317                          U1                                 3   1     21  21   1 44         44 0 USB_DEVICE_TO_KEYBOA(4167-3-13)
40-0317                          U1                                 3   1     22  22   1 45         45 0 USB_DEVICE_TO_KEYBOA(4167-4-13)
40-0317                          U1                                 3   1     23  23   1 26         26 0                     (0-0-0)
40-0317                          U1                                 3   1     24  24   1 27         27 0                     (0-0-0)
40-0317                          U1                                 3   1     25  25   1 57         57 0                     (0-0-0)
40-0317                          U1                                 3   1     26  26   1 58         58 0                     (0-0-0)
40-0317                          U1                                 3   1     27  27   1 59         59 0                     (0-0-0)
40-0317                          U1                                 3   1     28  28   1 61         61 0                     (0-0-0)
40-0317                          U1                                 3   1     29  29   1 62         62 0                     (0-0-0)
40-0317                          U1                                 3   1     30  30   1 29         29 0                     (0-0-0)
40-0317                          U1                                 3   1     31  31   1 30         30 0                     (0-0-0)
40-0317                          U1                                 3   1     32  32   1 33         33 0                     (0-0-0)
40-0317                          U1                                 3   1     33  33   1 34         34 0                     (0-0-0)
40-0317                          U1                                 3   1     34  34   1 35         35 0 USB_PC_TO_DEVICE_DM (4134-5-13)
40-0317                          U1                                 3   1     35  35   1 36         36 0 USB_PC_TO_DEVICE_DP (4134-6-13)
40-0317                          U1                                 3   1     36  36   1 8           8 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0317                          U1                                 3   1     37  37   1 9           9 0                     (0-0-0)
40-0317                          U1                                 3   1     38  38   1 10         10 0                     (0-0-0)
40-0317                          U1                                 3   1     39  39   1 11         11 0                     (0-0-0)
40-0317                          U1                                 3   1     40  40   1 24         24 0                     (0-0-0)
40-0317                          U1                                 3   1     41  41   1 25         25 0                     (0-0-0)
40-0317                          U1                                 3   1     42  42   1 37         37 0                     (0-0-0)
40-0317                          U1                                 3   1     43  43   1 38         38 0                     (0-0-0)
40-0317                          U1                                 3   1     44  44   1 39         39 0 RGB_B               (4194-12-13)
40-0317                          U1                                 3   1     45  45   1 40         40 0 RGB_R               (4194-10-13)
40-0317                          U1                                 3   1     46  46   1 51         51 0 SPI_SCK             (4134-10-13)
40-0317                          U1                                 3   1     47  47   1 52         52 0 SPI_MISO            (4134-11-13)
40-0317                          U1                                 3   1     48  48   1 53         53 0 SPI_MOSI            (4134-12-13)
40-0317                          U1                                 3   1     49  49   1 2           2 0                     (0-0-0)
40-0317                          U1                                 3   1     50  50   1 3           3 0                     (0-0-0)
40-0317                          U1                                 3   1     51  51   1 4           4 0                     (0-0-0)
40-0317                          U1                                 3   1     52  52   1 54         54 0                     (0-0-0)
40-0317                          U1                                 3   1     53  53   1 7           7 0 RSTn                (4539-1-13)
40-0317                          U1                                 3   1     54  54   1 1           1 0 VCC                 (43-2-13)
40-0317                          U1                                 3   1     55  55   1 31         31 0 XSIG011360          (4194-2-13)
40-0317                          U1                                 3   1     56  56   1 47         47 0 XSIG011359          (4194-1-13)
40-0317                          U1                                 3   1     57  57   1 13         13 0 VCC                 (43-2-13)
40-0317                          U1                                 3   2      1   1   2 64         64 0 VCC                 (43-2-13)
40-0317                          U1                                 3   2      1   1   3 48         48 0 VCC                 (43-2-13)
40-0317                          U1                                 3   2      1   1   4 32         32 0 VCC                 (43-2-13)
40-0317                          U1                                 3   2      1   1   5 19         19 0 VCC                 (43-2-13)
